repeat,fold,model,gini,train_gini,loss_ratio,train_loss_ratio,mse,freq_poisson_deviance,freq_nb2_deviance,freq_nb2_loglike,alpha_nb2,phi_quasi,mean_deviance
0,0,poisson+gamma,-0.2714323276787696,-0.29855685037507357,0.8132303238930605,1.040355351398723,2424848.787620889,34062.045578331636,30350.10924872979,-22531.63326723799,,2.291940395310147,0.31398799412189704
0,0,quasipoisson+gamma,-0.2714323276787696,-0.29855685037507357,0.8132303238930605,1.040355351398723,2424848.787620889,34062.045578331636,30350.10924872979,-22531.63326723799,,2.291940395310147,0.31398799412189704
0,0,negbin+gamma,-0.27060739571984205,-0.29945392485644573,0.8018965951668948,1.0258283200468001,2425473.2450101078,34066.46578217409,30348.87298992749,-22531.015137836846,0.7967099925673686,2.291940395310147,0.3140287400875177
0,0,tweedie1.8,-0.31787908482556426,-0.4133330472039911,0.4609450423769908,0.5904073768074523,2572933.1405580766,,,,,,28.508787623041606
0,1,poisson+gamma,-0.19260548427566251,-0.3208829773673277,0.8992077190704514,1.0395447145639947,3366679.279196946,34354.93312824934,30779.00633842394,-22669.887210111367,,2.282470985491131,0.31668786645018837
0,1,quasipoisson+gamma,-0.19260548427566251,-0.3208829773673277,0.8992077190704514,1.0395447145639947,3366679.279196946,34354.93312824934,30779.00633842394,-22669.887210111367,,2.282470985491131,0.31668786645018837
0,1,negbin+gamma,-0.19170120601831311,-0.32187390913484254,0.8876293750838049,1.0262500823140663,3367255.3458730606,34356.8274886025,30775.51622863114,-22668.14215521497,0.7502196272150343,2.282470985491131,0.31670532888960845
0,1,tweedie1.8,-0.25799260357453935,-0.4274237444924812,0.533481092645858,0.6127245036289982,3502351.5305731227,,,,,,29.733003808424556
0,2,poisson+gamma,-0.3258345619759979,-0.2679623659938224,1.5709834697332858,0.8752466873733188,189599220.42656475,34054.28329070706,30288.2402479188,-22533.470778753475,,2.2733630547733488,0.3139164404298138
0,2,quasipoisson+gamma,-0.3258345619759979,-0.2679623659938224,1.5709834697332858,0.8752466873733188,189599220.42656475,34054.28329070706,30288.2402479188,-22533.470778753475,,2.2733630547733488,0.3139164404298138
0,2,negbin+gamma,-0.3330606977583859,-0.26697107726363617,1.548988165928323,0.8628983365136981,189599346.9197654,34059.372436108635,30287.291581536905,-22532.996445562534,0.8194202027432896,2.2733630547733488,0.3139633527784207
0,2,tweedie1.8,-0.45983364384146574,-0.3179346039067856,1.0657099511208907,0.5950091037130354,189592341.30886075,,,,,,32.257377034527394
0,3,poisson+gamma,-0.29924052761590225,-0.2981739092419182,0.9385693514960112,1.014341777285094,7784976.9953302955,33701.88764251204,29974.68199009962,-22353.229648063923,,2.3535945107631724,0.31066801536210653
0,3,quasipoisson+gamma,-0.29924052761590225,-0.2981739092419182,0.9385693514960112,1.014341777285094,7784976.9953302955,33701.88764251204,29974.68199009962,-22353.229648063923,,2.3535945107631724,0.31066801536210653
0,3,negbin+gamma,-0.29800902993672906,-0.29948222475774094,0.9252487996870441,1.0000432237227206,7785577.689036798,33708.54235968189,29975.49101074102,-22353.634158384622,0.7984286285637004,2.3535945107631724,0.3107293593377877
0,3,tweedie1.8,-0.31615431976468317,-0.40655865148588827,0.5410878383755008,0.5860256746691316,7921216.445583407,,,,,,29.0043199300543
0,4,poisson+gamma,-0.24192622479455314,-0.3146832009686949,0.7918754686126503,1.03068473791152,3199107.6686003925,33901.57670590179,30228.73625329765,-22447.882505067446,,2.362974050854514,0.31250877293838414
0,4,quasipoisson+gamma,-0.24192622479455314,-0.3146832009686949,0.7918754686126503,1.03068473791152,3199107.6686003925,33901.57670590179,30228.73625329765,-22447.882505067446,,2.362974050854514,0.31250877293838414
0,4,negbin+gamma,-0.24075736619523416,-0.31572253150522284,0.7812065760191245,1.0167385247126781,3199727.2654891256,33901.06297961685,30222.536257428856,-22444.782507133048,0.7876517189968537,2.362974050854514,0.3125040373482868
0,4,tweedie1.8,-0.2763193629604806,-0.4202314749065588,0.4563934424323031,0.5904830496865215,3330752.57649116,,,,,,28.474743393580233
1,0,poisson+gamma,-0.18221823377606625,-0.3160339638478136,0.8939040139099983,1.022442351426792,4474950.335437924,33818.526752940474,30004.66338037107,-22421.04862595902,,2.2962378736979403,0.31174320857783294
1,0,quasipoisson+gamma,-0.18221823377606625,-0.3160339638478136,0.8939040139099983,1.022442351426792,4474950.335437924,33818.526752940474,30004.66338037107,-22421.04862595902,,2.2962378736979403,0.31174320857783294
1,0,negbin+gamma,-0.18065669239438115,-0.3174470032535116,0.880666560767769,1.0074948291146304,4475623.348470332,33828.077323215366,30007.32460781998,-22422.379239683487,0.8340035321027264,2.2962378736979403,0.3118312468724338
1,0,tweedie1.8,-0.23409840108134136,-0.4301705623962255,0.5226047423032177,0.5969531109943512,4610345.52525906,,,,,,29.0252058539754
1,1,poisson+gamma,-0.3087147245237713,-0.2982651754098503,0.8949312624951972,1.0106395203853626,8508739.654423578,33922.68129588908,30194.141718190698,-22466.489153785464,,2.3611317352765506,0.3127033175631817
1,1,quasipoisson+gamma,-0.3087147245237713,-0.2982651754098503,0.8949312624951972,1.0106395203853626,8508739.654423578,33922.68129588908,30194.141718190698,-22466.489153785464,,2.3611317352765506,0.3127033175631817
1,1,negbin+gamma,-0.3076578565285738,-0.299780446926567,0.882611205613628,0.9964528892224642,8509331.592716563,33922.351237921386,30188.56793061817,-22463.702259999198,0.8052588217512621,2.3611317352765506,0.3127002750495141
1,1,tweedie1.8,-0.3594187166631767,-0.4018885946416516,0.5239271952825892,0.6016093724052961,8643210.751563083,,,,,,29.060075226951444
1,2,poisson+gamma,-0.278523298012179,-0.29375621824494885,1.3717830557838115,0.9129370304382708,170330908.95348886,34078.633825743105,30469.890691616118,-22531.71194960241,,2.3341322579959427,0.3141409065627764
1,2,quasipoisson+gamma,-0.278523298012179,-0.29375621824494885,1.3717830557838115,0.9129370304382708,170330908.95348886,34078.633825743105,30469.890691616118,-22531.71194960241,,2.3341322579959427,0.3141409065627764
1,2,negbin+gamma,-0.2832930613485358,-0.2928649136432404,1.3533300536239958,0.9008304868685612,170331343.23816884,34081.64661039923,30467.271324802965,-22530.40226619583,0.7601177662049511,2.3341322579959427,0.3141686787706645
1,2,tweedie1.8,-0.49851023740891104,-0.34951932781008366,0.9077886026630679,0.6012533723054047,170320909.22511637,,,,,,31.085979651779315
1,3,poisson+gamma,-0.3431937220247495,-0.27029267993676626,0.9619829277010224,1.011313763471078,20056460.5507296,34277.85540493965,30673.67723854639,-22630.243398747018,,2.2598010061187437,0.3159773548140673
1,3,quasipoisson+gamma,-0.3431937220247495,-0.27029267993676626,0.9619829277010224,1.011313763471078,20056460.5507296,34277.85540493965,30673.67723854639,-22630.243398747018,,2.2598010061187437,0.3159773548140673
1,3,negbin+gamma,-0.3431732885495144,-0.2716826140117887,0.9492823394231285,0.9979204787567703,20056864.64130689,34281.21804386771,30671.75203914146,-22629.28079904456,0.7589774646649528,2.2598010061187437,0.3160083520203141
1,3,tweedie1.8,-0.40803236825742567,-0.39223354912077857,0.5753557882006293,0.6033783255668584,20095265.931935694,,,,,,29.27686765307837
1,4,poisson+gamma,-0.28273498492771637,-0.3182664699577764,0.8751906350707238,1.0404418575894452,3002619.5177840446,33975.11492113515,30279.680302019955,-22486.1956174949,,2.3113428563685376,0.31318665696737846
1,4,quasipoisson+gamma,-0.28273498492771637,-0.3182664699577764,0.8751906350707238,1.0404418575894452,3002619.5177840446,33975.11492113515,30279.680302019955,-22486.1956174949,,2.3113428563685376,0.31318665696737846
1,4,negbin+gamma,-0.28211684954573685,-0.31885685558948285,0.863658681182317,1.026636978738523,3003133.659712809,33977.534786608485,30276.395624413166,-22484.553278691506,0.7938301028040685,2.3113428563685376,0.31320896357560224
1,4,tweedie1.8,-0.28248841228654625,-0.416405567467535,0.4829987996148045,0.5742658489679813,3198787.0170049467,,,,,,28.671733420136565
2,0,poisson+gamma,-0.21083774236546068,-0.31832155083888264,0.8440796925962527,1.0457532237409395,1948853.379975572,33996.72746118844,30299.749278030016,-22495.886548467457,,2.3100106250936054,0.31338588393639905
2,0,quasipoisson+gamma,-0.21083774236546068,-0.31832155083888264,0.8440796925962527,1.0457532237409395,1948853.379975572,33996.72746118844,30299.749278030016,-22495.886548467457,,2.3100106250936054,0.31338588393639905
2,0,negbin+gamma,-0.2099687407952549,-0.3193463219808392,0.832495973395163,1.031318901931897,1949393.1990492102,33996.674353031514,30294.647912449338,-22493.335865677116,0.7915173666199334,2.3100106250936054,0.31338539437908147
2,0,tweedie1.8,-0.23662629003771565,-0.4275187221680381,0.4882702203824668,0.6010480017190287,2067243.244107002,,,,,,29.16689227041966
2,1,poisson+gamma,-0.2818473981844721,-0.3032197523328259,0.7806076243248945,1.0310358692956827,2215867.447828095,34199.178213635736,30529.49284673097,-22599.576450436773,,2.255572006351806,0.3152520990914229
2,1,quasipoisson+gamma,-0.2818473981844721,-0.3032197523328259,0.7806076243248945,1.0310358692956827,2215867.447828095,34199.178213635736,30529.49284673097,-22599.576450436773,,2.255572006351806,0.3152520990914229
2,1,negbin+gamma,-0.28059706340081514,-0.3048215776989004,0.769598160526993,1.0165760081360058,2216592.5523009948,34205.67448728878,30529.581480675595,-22599.620767409084,0.7845238248784239,2.255572006351806,0.31531198251589
2,1,tweedie1.8,-0.29788864230480455,-0.4168529747775196,0.4450793727689876,0.5851396555456746,2381861.838606089,,,,,,29.287148587649046
2,2,poisson+gamma,-0.31678293589415163,-0.2706607112790234,1.4455425104348505,0.9003010953990449,174839230.28171253,33768.68086806115,30006.815651597495,-22390.824120790392,,2.3624606486677417,0.31128372327262727
2,2,quasipoisson+gamma,-0.31678293589415163,-0.2706607112790234,1.4455425104348505,0.9003010953990449,174839230.28171253,33768.68086806115,30006.815651597495,-22390.824120790392,,2.3624606486677417,0.31128372327262727
2,2,negbin+gamma,-0.32052059566855007,-0.2700070278389314,1.425561275075867,0.8879168865355146,174839558.84838966,33772.37850244044,30004.227478913206,-22389.530034448246,0.8187726203229598,2.3624606486677417,0.31131780850685314
2,2,tweedie1.8,-0.48881658729234734,-0.33404316225225916,0.9119956465358272,0.568629841895658,174841812.84109902,,,,,,29.83376900348105
2,3,poisson+gamma,-0.23973827147533314,-0.30972342903085287,1.011764004816459,1.0047904543152368,19426012.251917727,33970.07056821859,30262.243141269144,-22487.528155681357,,2.3172194162047672,0.31314015752123475
2,3,quasipoisson+gamma,-0.23973827147533314,-0.30972342903085287,1.011764004816459,1.0047904543152368,19426012.251917727,33970.07056821859,30262.243141269144,-22487.528155681357,,2.3172194162047672,0.31314015752123475
2,3,negbin+gamma,-0.24079607843643824,-0.3103206623035514,0.9982824035358171,0.9914130266278858,19426472.320481036,33971.87511013905,30258.519531223857,-22485.66635065871,0.7974972330333421,2.3172194162047672,0.31315679200364166
2,3,tweedie1.8,-0.3100231574553559,-0.40938184402560307,0.6528123831340807,0.6499848179886029,19488425.836920984,,,,,,31.662087425834315
2,4,poisson+gamma,-0.2930793944923929,-0.301286698680565,0.9256013063629223,1.0155263164112753,7944141.560698844,34124.783781828555,30503.343015786064,-22555.449341666754,,2.3126018124580834,0.31456632235604576
2,4,quasipoisson+gamma,-0.2930793944923929,-0.301286698680565,0.9256013063629223,1.0155263164112753,7944141.560698844,34124.783781828555,30503.343015786064,-22555.449341666754,,2.3126018124580834,0.31456632235604576
2,4,negbin+gamma,-0.29186769020914705,-0.3027019366615342,0.9131176329269409,1.001739973194748,7944714.129570638,34130.979871451535,30504.14750115189,-22555.851584349664,0.7614156454992139,2.3126018124580834,0.31462343864836134
2,4,tweedie1.8,-0.33235652251984804,-0.40517997618457857,0.5218058212602129,0.5744580602097004,8074574.037642955,,,,,,28.370913771123565
