model,mean_gini,sd_gini,mean_loss_ratio,sd_loss_ratio,mean_mse,mean_deviance,sd_deviance,mean_freq_poisson_deviance,mean_freq_nb2_deviance,mean_freq_nb2_loglike
negbin+gamma,-0.2614405985314312,0.023022266955176448,0.9614837656521428,0.02536559882948779,33902741.255716324,0.31363711503857983,0.00292062468348126,106325.01960672956,94571.89144028415,-70333.9633898341
poisson+gamma,-0.26049236060371517,0.02022822965929597,0.975314346494206,0.026109190458546455,33902154.14384547,0.3136076024044744,0.002992010929171656,106315.01460669682,94580.24547317467,-70338.14040627936
quasipoisson+gamma,-0.26049236060371517,0.02022822965929597,0.975314346494206,0.026109190458546455,33902154.14384547,0.3136076024044744,0.002992010929171656,106315.01460669682,94580.24547317467,-70338.14040627936
tweedie1.8,-0.3397946489018127,0.10522580415197057,0.6000768017971474,0.004303747865565277,34011320.00314505,30.495302010789757,1.9226877306868526,,,
