term,rel_poisson,rel_nb2,rel_ratio_nb_over_pois,se_poisson,se_quasi,se_nb2,z_poisson,z_quasi,z_nb2,p_poisson,p_quasi,p_nb2,sig_poisson_5pct,sig_quasi_5pct,sig_nb2_5pct
C(VehPowerBand)[T.10-15],1.1804652925860397,1.18185967480819,1.0011812140779637,0.025351978255670312,0.03855090594180146,0.02610491712819096,6.544210271611515,4.303625879944149,6.400678947932236,5.981060091642121e-11,1.6802530751869327e-05,1.5468759606562799e-10,True,True,True
C(VehAgeBand)[T.1],0.2851335536303585,0.2711135210010017,0.9508299445966572,0.025893784710242874,0.03937479153598447,0.026708423330453923,-48.45941268488304,-31.868044256194203,-48.86913888489393,0.0,0.0,0.0,True,True,True
C(VehAgeBand)[T.2-4],0.3048553568986992,0.2895587889993596,0.9498235226864573,0.020780653216580208,0.03159962506603988,0.021544053335427988,-57.164606047634784,-37.59278320725956,-57.52849347701539,0.0,0.0,0.0,True,True,True
C(VehAgeBand)[T.5-10],0.32408381036792777,0.3085239284271135,0.9519880924531547,0.02058891013584727,0.0313080553354342,0.02137380388783363,-54.726214997814814,-35.98924016816261,-55.01855827968915,0.0,0.0,0.0,True,True,True
C(VehAgeBand)[T.11+],0.2553240522231867,0.24262539757227333,0.9502645577635863,0.022283969952482663,0.03388560928005478,0.023085691850722484,-61.26474548640956,-40.28913088982656,-61.34694199434811,0.0,0.0,0.0,True,True,True
C(DrivAgeBand)[T.21-25],0.6482019455941656,0.6430071620850695,0.9919858563455338,0.05034947107057589,0.07656277170508735,0.05299003328777657,-8.61087470288897,-5.662712792262375,-8.33363160695409,0.0,1.4899843137072821e-08,0.0,True,True,True
C(DrivAgeBand)[T.26-30],0.5296240907522932,0.5227016832012206,0.9869295833177832,0.049808993509340996,0.07574090686216683,0.05235302984929929,-12.760502512344537,-8.391605185952422,-12.39172546327804,0.0,0.0,0.0,True,True,True
C(DrivAgeBand)[T.31-40],0.606551924661958,0.598940125456623,0.9874507047198356,0.048168678948504184,0.07324660003876761,0.05072498817367803,-10.379461333677298,-6.82577676473305,-10.105347715590566,0.0,8.745004720367433e-12,0.0,True,True,True
C(DrivAgeBand)[T.41-50],0.8503165711141896,0.844171289375987,0.9927729483971477,0.048432227197780384,0.07364735865675438,0.05103076682122063,-3.3479063758103216,-2.2016616099683044,-3.3195631975019664,0.0008142451375039439,0.027689220420275662,0.0009015839528636604,True,True,True
C(DrivAgeBand)[T.51-60],0.8092212537123562,0.801827911693732,0.9908636334195293,0.04903142623116732,0.07455851696335918,0.051633548477479564,-4.317290464763623,-2.839151280940962,-4.277476071283411,1.579562370435106e-05,0.004523370621743572,1.8902426944800155e-05,True,True,True
C(DrivAgeBand)[T.61-70],0.7959876251437589,0.7862000894983399,0.9877039097892365,0.05093726665696699,0.07745658962081159,0.053569143923027855,-4.479463750911752,-2.9458002305216744,-4.490345272334553,7.483079632386591e-06,0.0032212036711984915,7.110781361729934e-06,True,True,True
C(DrivAgeBand)[T.71+],0.8534391705933154,0.8431629029692073,0.9879589923005713,0.05232548982862101,0.07956755943850988,0.055001260809606274,-3.0287534879750413,-1.991779199296834,-3.1016579471384245,0.002455649682062244,0.04639528947218707,0.0019244017945039271,True,True,True
C(BonusMalusBand)[T.51-60],1.3397366105792328,1.3409692844675463,1.0009200867383778,0.01951542754782988,0.029675688588213442,0.020051029961462317,14.986760328794789,9.855644444572382,14.632300667607236,0.0,0.0,0.0,True,True,True
C(BonusMalusBand)[T.61-80],1.9610817718748128,1.9657670294788985,1.0023891189400054,0.017432480867823227,0.026508303355671912,0.018054779058396878,38.63456099683549,25.406991778294174,37.43510306943226,0.0,0.0,0.0,True,True,True
C(BonusMalusBand)[T.81-100],2.5702975114239357,2.6021332536057624,1.0123860144751065,0.021307858102222892,0.03240130711836349,0.022150632154832966,44.3039206887049,29.13529543602997,43.1740089441807,0.0,0.0,0.0,True,True,True
C(BonusMalusBand)[T.101-150],5.641778494388192,5.686583334038446,1.0079416162287869,0.03354383948382702,0.05100767237281264,0.03650549140025694,51.580241806269505,33.92037454758852,47.61227784042459,0.0,0.0,0.0,True,True,True
