repeat,fold,model,gini,loss_ratio,mse,freq_poisson_deviance,freq_nb2_deviance,freq_nb2_loglike,alpha_nb2,phi_quasi,mean_deviance
0,0,poisson+gamma,-0.24618884224022816,0.9568523608696766,10920002.285751855,105597.94511593599,94168.4584415055,-69790.50625389795,,2.2848719099437944,0.3114919311870728
0,0,quasipoisson+gamma,-0.24618884224022816,0.9568523608696766,10920002.285751855,105597.94511593599,94168.4584415055,-69790.50625389795,,2.2848719099437944,0.3114919311870728
0,0,negbin+gamma,-0.245161397449139,0.9435475787109544,10920631.442659555,105625.06239859146,94175.22749434269,-69793.89078031656,0.7884158601158745,2.2848719099437944,0.31157192151958946
0,0,tweedie1.8,-0.26538876923014676,0.5970335924968891,11066070.917259235,,,,,,31.854847543262608
0,1,poisson+gamma,-0.2747958789672022,0.9937763321187353,56884306.00193908,107032.08409745766,94992.03250484385,-70885.77455866075,,2.281284676572909,0.3157232736218759
0,1,quasipoisson+gamma,-0.2747958789672022,0.9937763321187353,56884306.00193908,107032.08409745766,94992.03250484385,-70885.77455866075,,2.281284676572909,0.3157232736218759
0,1,negbin+gamma,-0.27771979961372345,0.9794199525933311,56884851.0687731,107024.97681486767,94968.5553862256,-70874.03599935162,0.8235299304411369,2.281284676572909,0.31570230855757025
0,1,tweedie1.8,-0.41420052857347867,0.6031200110974058,56956569.08903086,,,,,,29.13575647831691
