model,mean_gini,sd_gini,mean_train_gini,mean_loss_ratio,sd_loss_ratio,mean_train_loss_ratio,mean_mse,mean_deviance,sd_deviance,mean_freq_poisson_deviance,mean_freq_nb2_deviance,mean_freq_nb2_loglike
negbin+gamma,-0.27165224083369677,0.04955808305614473,-0.300755535161749,0.987571586530454,0.24614483370104057,0.9860039297624642,41275360.53302276,0.3135762500522652,0.001669812150934018,34017.378758169834,30320.80956663167,-22505.659523352628
poisson+gamma,-0.2712473221344786,0.04840564618522952,-0.3000057302337428,1.0012835577534394,0.24961340214669525,0.9996903167337184,41274841.139420666,0.3135432479976904,0.0016728334134119367,34013.798629285455,30322.96475617518,-22506.737118124383
quasipoisson+gamma,-0.2712473221344786,0.04840564618522952,-0.3000057302337428,1.0012835577534394,0.24961340214669525,0.9996903167337184,41274841.139420666,0.3135432479976904,0.0016728334134119367,34013.798629285455,30322.96475617518,-22506.737118124383
tweedie1.8,-0.3384292233516137,0.08716900552450334,-0.39791172018933185,0.6060170626064952,0.19415263880270228,0.595424674406913,41376135.416754775,29.561260310270452,1.1882674245852862,,,
