power,fold,mean_deviance,train_mean_deviance,gini,train_gini,loss_ratio,mse,n_iter,dispersion
1.1,0,438.93151316932074,470.00611062958257,-0.32641412664081326,-0.4198122196642228,0.8311114869132467,11528973.289020017,36,64861.703203310164
1.1,1,511.74285045952274,408.40793710435156,-0.4116518585477589,-0.38172397033329464,1.1248130782467336,71091996.23937275,16,71696.99418587289
1.2,0,248.43146916774393,258.3210272999777,-0.3369917769307441,-0.42911181429823514,0.8008440471174372,11515444.599858843,39,41536.997008959836
1.2,1,278.1510204511129,234.56654971983912,-0.4111733638840358,-0.381526587561647,1.0817356363259942,71091321.19376257,17,47692.74255263772
1.3,0,149.04545211442712,151.34684500691847,-0.3426265867572334,-0.4354479032544355,0.7650989984114124,11515752.803347535,42,27292.101436772642
1.3,1,161.46591053191415,141.88892307344432,-0.4097709708829374,-0.380449075545138,1.032956625988396,71091251.89176984,18,30933.01549498082
1.4,0,94.37595873444383,93.9448830000776,-0.3453098884593196,-0.4399416981224236,0.7223656587214182,11525456.319482878,46,18051.04313374104
1.4,1,99.5134542726632,90.15608433142103,-0.4077507693519129,-0.37873342068886806,0.97773920292882,71091855.29055753,19,19705.83671945024
1.5,0,63.06411178959677,61.70928194082642,-0.3461194189507307,-0.44303838688336716,0.6728856889003959,11545102.82514812,48,11869.612289601977
1.5,1,65.02599324631645,60.24532813841484,-0.40497864611597617,-0.3764243399611124,0.9161415855309555,71093338.5825456,20,12396.349377312888
1.6,0,44.72619070179147,43.14860364357064,-0.3454584945439096,-0.4449480544843305,0.6178682163794502,11577825.76857039,51,7682.321117705169
1.6,1,45.28233486449075,42.65093052209882,-0.40159926806395885,-0.3734455674485281,0.8486654734574757,71096136.22735323,21,7696.223714018039
1.7,0,34.24177428422806,32.714153692881574,-0.3434596861121415,-0.4458572446190041,0.5592634523506204,11628762.35054576,53,4855.698367402402
1.7,1,34.18426190170924,32.61316675258131,-0.39764864735548233,-0.3697383143687353,0.7759746777025709,71101131.0060117,29,4690.642168748973
1.8,0,29.632218258533563,28.250861316385247,-0.34025719815098476,-0.44584279345934574,0.4994572207419807,11704681.308890812,55,2981.5893301615356
1.8,1,29.321516429919406,28.304852400423357,-0.3934094739621198,-0.365129466454144,0.6989301097693192,71110105.94421844,100,2793.6593506249214
1.9,0,34.061637995602716,32.844425646909514,-0.3360465186759437,-0.4448886684844378,0.4406585882398485,11814462.980991643,56,1774.9628679290984
1.9,1,33.65812866577878,32.954747586106315,-0.388955360112614,-0.35928891483749714,0.6183570509760996,71127012.07507607,30,1620.6614705584502
